title,start_date,end_date
HackCooper,2015-02-14,2015-02-15
HackCooper,2016-09-24,2016-09-25
HackCortona,2016-08-06,2016-08-07
HackCU,2015-04-10,2015-04-12
HackCU,2016-04-01,2016-04-03
HackCUU,2015-03-07,2015-03-08
HackCUU,2015-09-26,2015-09-27
HackCWRU,2015-02-06,2015-02-08
HackCWRU,2016-02-12,2016-02-14
HackDartmouth,2015-04-11,2015-04-12
HackDartmouth II,2015-10-03,2015-10-04
HackDartmouth III,2016-09-24,2016-09-25
HackDavis,2016-05-07,2016-05-08
HackDavis,2017-01-21,2017-01-22
HackDC,2015-09-25,2015-09-27
HackDFW,2015-02-28,2015-03-01
HackDFW,2016-04-16,2016-04-17
HackDuke,2014-11-15,2014-11-16
HackDuke,2015-11-07,2015-11-08
HackDuke: Code for Good,2016-11-19,2016-11-20
HackEHS,2016-04-23,2016-04-24
HackExeter,2015-02-28,2015-03-01
HackfestISM,2016-03-04,2016-03-06
HackFSU,2015-03-20,2015-03-22
HackFSU,2016-02-05,2016-02-07
HackGenY London,2015-09-26,2015-09-27
HackGSU,2016-03-25,2016-03-27
hackGSU,2016-10-21,2016-10-23
HackGT,2014-09-19,2014-09-21
HackGT,2015-09-25,2015-09-27
HackGT,2016-09-23,2016-09-25
HackHarvard,2015-11-13,2015-11-15
HackHarvard,2016-10-21,2016-10-23
HackHERE,2015-11-07,2015-11-08
Hackhers,2015-02-07,2015-02-08
HackHolyoke,2015-04-03,2015-04-04
hackholyoke,2015-11-06,2015-11-07
HackIDC,2015-04-07,2015-04-09
HackIllinois,2015-02-27,2015-03-01
Hacking Eating Tracking,2015-09-18,2015-09-20
Hacking Generation Y,2015-01-24,2015-01-25
Hacking Health Milano,2016-11-12,2016-11-13
HackingEDU,2015-10-23,2015-10-25
HackISU,2014-09-12,2014-09-14
HackISU,2015-09-18,2015-09-20
HackISU,2016-02-19,2016-02-21
HackKing v3.0,2016-11-26,2016-11-27
HackKings,2015-12-12,2015-12-13
HackLondon,2015-02-28,2015-03-01
HackLondon,2016-02-27,2016-02-28
hackMarist,2016-10-28,2016-10-30
HackMerced,2017-02-10,2017-02-12
hackMHS,2016-05-21,2016-05-22
HACKMIT,2014-10-04,2014-10-05
HackMIT,2015-09-19,2015-09-20
HackMizzou,2014-10-03,2014-10-05
HackMTY,2015-03-21,2015-03-22
HackMTY,2016-08-27,2016-08-28
HackNC,2014-10-25,2014-10-26
HackNC,2015-10-09,2015-10-11
HackNC,2016-10-28,2016-10-30
hackNEHS | Hack New England High Schools,2016-10-08,2016-10-08
HackNJIT,2014-11-08,2014-11-09
HackNJIT,2015-11-08,2015-11-09
HackNotts,2015-11-28,2015-11-29
HackNotts,2016-11-26,2016-11-27
hackNY,2015-03-07,2015-03-08
hackNY,2015-09-26,2015-09-27
hackNY,2016-04-02,2016-04-03
HackOHI/O,2016-11-19,2016-11-20
hackpoly,2015-02-20,2015-02-21
Hackpoly,2017-02-11,2017-02-12
HackPR,2014-09-27,2014-09-28
HackPR,2015-09-19,2015-09-20
HackPrinceton,2014-11-14,2014-11-16
HackPrinceton,2015-04-11,2015-04-12
HackPrinceton,2015-11-13,2015-11-15
HackPrinceton,2016-04-01,2016-04-03
HackPSU,2015-03-28,2015-03-29
HackPSU,2016-04-09,2016-04-10
HackPSU,2016-11-12,2016-11-13
HackRice,2016-01-15,2016-01-17
HackRiddle,2016-10-15,2016-10-16
HackRPI,2014-11-15,2014-11-16
HackRPI,2016-11-12,2016-11-13
HackRPI 2015,2015-11-14,2015-11-15
HackRU,2014-10-11,2014-10-12
HackRU,2015-04-18,2015-04-19
HackRU,2016-04-16,2016-04-17
HackRU IX,2015-10-03,2015-10-04
HackSC,2014-11-07,2014-11-09
HackSheffield,2016-10-15,2016-10-16
HackSI,2016-11-05,2016-11-06
HackTCNJ,2015-02-28,2015-03-01
HackTCNJ,2016-02-27,2016-02-28
Hacktech,2015-01-24,2015-01-26
Hacktech,2016-02-26,2016-02-28
HackTheU,2016-11-11,2016-11-12
HackTrain,2015-11-20,2015-11-22
HackTX,2016-10-22,2016-10-23
HackUCI,2015-11-20,2015-11-22
HackUConn,2016-04-01,2016-04-02
HackUMass,2015-04-11,2015-04-12
HackUMass,2015-10-23,2015-10-25
HackUMBC,2014-09-27,2014-09-28
HackUPC,2016-10-07,2016-10-09
